BUGID,FNAME,CHURN,LOC
26756,qtbase/src/gui/painting/qpainter.cpp,0.5,3770
17485,qtbase/src/gui/text/qtextengine.cpp,1,2675
17485,qtbase/tests/auto/gui/text/qtextlayout/tst_qtextlayout.cpp,11.5,1466
27740,qtbase/src/gui/text/qtextlayout.cpp,2,1755
27740,qtbase/src/gui/painting/qpainter.cpp,2.5,3770
50309,qtbase/src/corelib/global/qcompilerdetection.h,2.5,0
26972,qtbase/src/plugins/platforms/cocoa/qcocoahelpers.h,1.5,43
22361,qtbase/tests/auto/opengl/qglthreads/tst_qglthreads.cpp,26,468
27812,qtbase/src/plugins/platforms/windows/qwindowsfontengine.cpp,3.5,976
27812,qtbase/src/plugins/platforms/windows/qwindowsfontdatabase.cpp,1,1451
27004,qtbase/src/widgets/dialogs/qwizard_win_p.h,0.5,77
27004,qtbase/src/widgets/dialogs/qwizard_win.cpp,2.5,570
27260,qtbase/src/corelib/kernel/qcoreapplication.h,0.5,113
27260,qtbase/src/corelib/io/qprocess_unix.cpp,7.5,812
27260,qtbase/src/corelib/kernel/qcoreapplication.cpp,9,910
27260,qtbase/tests/auto/corelib/io/qprocess-noapplication/tst_qprocessnoapplication.cpp,42,42
27260,qtbase/src/corelib/kernel/qcoreapplication_p.h,1,52
14814,qtbase/src/widgets/itemviews/qheaderview.cpp,1,2179
27688,qtbase/src/tools/qdoc/generator.cpp,11,1630
27688,qtbase/src/tools/qdoc/location.cpp,8.5,204
27661,qtbase/src/widgets/styles/qfusionstyle.cpp,12.5,12.5
27391,qtbase/src/corelib/tools/qvector.h,3,606
24816,qtbase/src/gui/kernel/qplatformsystemtrayicon.h,2,34
24816,qtbase/src/gui/kernel/qkeysequence.h,2.5,135
24816,qtbase/src/gui/kernel/qwindowsysteminterface.cpp,12.5,433
24816,qtbase/src/network/kernel/qdnslookup_unix.cpp,7.5,237
24816,qtbase/src/gui/kernel/qguiapplication.cpp,1,1569
6498,qtbase/src/corelib/tools/qunicodetools.cpp,17,410
6498,qtbase/src/3rdparty/harfbuzz/src/harfbuzz-shaper.h,2,153
6498,qtbase/src/3rdparty/harfbuzz/src/harfbuzz-thai.c,5,302
6498,qtbase/src/corelib/tools/qtextboundaryfinder.cpp,35.5,260
6498,qtbase/src/corelib/tools/qunicodetools_p.h,2.5,17
6498,qtbase/tests/auto/corelib/tools/qtextboundaryfinder/tst_qtextboundaryfinder.cpp,32,387
13230,qtbase/src/corelib/animation/qvariantanimation.cpp,7,297
13230,qtbase/src/corelib/animation/qvariantanimation.h,2,51
93446,qtbase/src/3rdparty/ce-compat/ce_time.h,12.5,0
93446,qtbase/src/3rdparty/ce-compat/ce_time.c,338.5,442
10781,qtbase/src/plugins/platforms/windows/qwindowskeymapper.cpp,4,821
26438,qtbase/src/plugins/platforms/windows/qwindowswindow.cpp,0.5,1254
28193,qtbase/src/gui/text/qtextlayout.cpp,1,1755
28193,qtbase/src/gui/text/qtextlayout.h,1,157
26455,qtbase/qmake/generators/win32/winmakefile.cpp,1,758
28574,qtbase/src/plugins/platforms/cocoa/qcocoahelpers.h,1,43
27336,qtbase/src/widgets/kernel/qwidgetwindow.cpp,4,430
27336,qtbase/tests/auto/widgets/kernel/qwidget_window/tst_qwidget_window.cpp,13.5,233
26018,qtbase/src/corelib/kernel/qvariant.cpp,7.5,1484
14553,qtbase/src/corelib/statemachine/qfinalstate.cpp,1,31
24674,qtbase/src/widgets/kernel/qwidget_qpa.cpp,4.5,806
24674,qtbase/src/gui/kernel/qguiapplication.cpp,8.5,1569
28187,qtbase/src/widgets/graphicsview/qgraphicsitem.cpp,24.5,5034
28187,qtbase/tests/auto/widgets/graphicsview/qgraphicswidget/tst_qgraphicswidget.cpp,51.5,2682
28187,qtbase/src/widgets/graphicsview/qgraphicswidget_p.cpp,52,674
28187,qtbase/src/widgets/graphicsview/qgraphicsscene.cpp,10.5,3653
22833,qtbase/tests/auto/corelib/tools/qdatetime/tst_qdatetime.cpp,3.5,1326
22362,qtbase/tests/auto/gui/painting/qwmatrix/tst_qwmatrix.cpp,4.5,192
26224,qtbase/src/network/socket/qnativesocketengine_win.cpp,18.5,949
27621,qtbase/src/plugins/platforms/windows/qwindowsintegration.h,2,30
27621,qtbase/tests/manual/dialogs/filedialogpanel.cpp,186.5,186.5
27621,qtbase/tests/manual/dialogs/main.cpp,41.5,41.5
27621,qtbase/src/plugins/platforms/windows/qwindowsdialoghelpers.cpp,252,708
27621,qtbase/tests/manual/dialogs/filedialogpanel.h,46.5,46.5
27621,qtbase/src/plugins/platforms/windows/qwindowsintegration.cpp,3,266
26274,qtbase/tests/auto/widgets/graphicsview/qgraphicsview/tst_qgraphicsview.cpp,1.5,3429
26107,qtbase/src/corelib/itemmodels/qsortfilterproxymodel.cpp,6.5,1745
26107,qtbase/tests/auto/corelib/itemmodels/qsortfilterproxymodel/tst_qsortfilterproxymodel.cpp,34,2969
28544,qtbase/src/widgets/graphicsview/qgraphicsitem.cpp,12,5034
28544,qtbase/tests/auto/widgets/graphicsview/qgraphicsitem/tst_qgraphicsitem.cpp,17.5,8931
26421,qtbase/src/plugins/platforms/windows/qwindowswindow.h,1.5,205
26421,qtbase/tests/auto/widgets/kernel/qwidget/tst_qwidget.cpp,1.5,6703
26421,qtbase/src/plugins/platforms/windows/qwindowswindow.cpp,6.5,1254
27644,qtbase/src/gui/kernel/qwindow.cpp,2,791
27644,qtbase/src/widgets/kernel/qwidgetwindow.cpp,0.5,430
27644,qtbase/tests/auto/gui/kernel/qguiapplication/tst_qguiapplication.cpp,34.5,415
27644,qtbase/src/gui/kernel/qguiapplication_p.h,0.5,147
