BUGID,FNAME,CHURN,LOC
33360,qtbase/src/network/access/qhttpmultipart.cpp,2,231
33360,qtbase/src/gui/image/qpixmap.cpp,17,554
33360,qtbase/src/sql/doc/snippets/code/src_sql_kernel_qsqldatabase.cpp,1,49
33360,qtbase/src/tools/qdoc/tokenizer.cpp,1,599
33360,qtbase/src/dbus/qdbuserror.cpp,1,131
33360,qtbase/src/widgets/widgets/qwidgetlinecontrol.cpp,3,1359
33360,qtbase/src/gui/opengl/qopenglengineshadermanager.cpp,1,620
33360,qtbase/examples/widgets/tutorials/threads/clock/main.cpp,33.5,17
33360,qtbase/src/printsupport/kernel/qprinter.cpp,15,665
33360,qtbase/src/corelib/tools/qdatetime.cpp,48,2872
33360,qtbase/src/network/bearer/qbearerengine.cpp,2,54
33360,qtbase/src/widgets/itemviews/qtablewidget.cpp,5,1328
33360,qtbase/src/widgets/util/qscroller.cpp,1,1188
33360,qtbase/src/gui/painting/qplatformbackingstore.cpp,1,37
33360,qtbase/src/network/access/qnetworkreplyimpl.cpp,1,767
33360,qtbase/src/network/socket/qabstractsocket.cpp,20,1234
33360,qtbase/src/network/ssl/qsslcertificate.cpp,8,670
33360,qtbase/src/network/socket/qlocalserver.cpp,6,143
33360,qtbase/src/gui/util/qdesktopservices.cpp,1,82
33360,qtbase/src/corelib/thread/qrunnable.cpp,2,0
33360,qtbase/src/widgets/util/qcompleter.cpp,2,1058
33360,qtbase/src/gui/painting/qpainterpath.cpp,23,1574
33360,qtbase/src/gui/text/qtextobject.cpp,22,680
33360,qtbase/src/widgets/widgets/qprogressbar.cpp,1,311
33360,qtbase/src/gui/opengl/qopengldebug.cpp,4,731
33360,qtbase/src/opengl/qglpixelbuffer.cpp,7,267
33360,qtbase/src/widgets/widgets/qbuttongroup.cpp,2,0
33360,qtbase/src/concurrent/qtconcurrentfilter.cpp,15,0
33360,qtbase/src/widgets/widgets/qtextedit.cpp,7,1105
33360,qtbase/src/widgets/widgets/qabstractbutton.cpp,3,786
33360,qtbase/src/gui/kernel/qevent.cpp,17.5,1017
33360,qtbase/src/network/kernel/qurlinfo.cpp,14,305
33360,qtbase/src/widgets/widgets/qdial.cpp,2,214
33360,qtbase/src/tools/qdoc/yyindent.cpp,11,477
33360,qtbase/src/widgets/widgets/qlabel.cpp,4,894
33360,qtbase/src/widgets/itemviews/qabstractitemview.cpp,7,2482
33360,qtbase/src/widgets/widgets/qmenu.cpp,5,2113
33360,qtbase/src/widgets/widgets/qsplitter.cpp,4,965
33360,qtbase/src/corelib/tools/qsize.cpp,19,97
33360,qtbase/src/corelib/io/qurl.cpp,18,1557
33360,qtbase/src/gui/painting/qbrush.cpp,12,975
33360,qtbase/src/corelib/io/qresource.cpp,12,963
33360,qtbase/src/gui/opengl/qopenglframebufferobject.cpp,14,554
33360,qtbase/src/corelib/global/qglobal.cpp,4,160
33360,qtbase/src/widgets/dialogs/qfiledialog.cpp,4,1911
33360,qtbase/src/gui/painting/qmatrix.cpp,10,434
33360,qtbase/src/corelib/tools/qregularexpression.cpp,11,812
33360,qtbase/src/sql/models/qsqltablemodel.cpp,21,714
33360,qtbase/src/corelib/thread/qthreadpool.cpp,9,288
33360,qtbase/src/gui/text/qfontdatabase.cpp,19,1447
33360,qtbase/src/sql/kernel/qsqlindex.cpp,2,60
33360,qtbase/src/gui/painting/qpolygon.cpp,5,339
33360,qtbase/src/gui/opengl/qtriangulator.cpp,1,1772
33360,qtbase/src/corelib/tools/qcontiguouscache.cpp,6,10
33360,qtbase/src/corelib/tools/qbytearray.cpp,70,1490
33360,qtbase/src/corelib/itemmodels/qitemselectionmodel.cpp,23,962
33360,qtbase/src/opengl/qglshaderprogram.cpp,15,1359
33360,qtbase/src/sql/kernel/qsqldatabase.cpp,12,457
33360,qtbase/src/gui/image/qpicture.cpp,9,1119
33360,qtbase/src/plugins/accessible/widgets/complexwidgets.cpp,2,303
33360,qtbase/src/corelib/tools/qeasingcurve.cpp,2,813
33360,qtbase/src/network/ssl/qsslcertificateextension.cpp,1,38
33360,qtbase/src/widgets/widgets/qtextbrowser.cpp,4,458
33360,qtbase/src/widgets/itemviews/qdirmodel.cpp,9,810
33360,qtbase/src/corelib/codecs/qtextcodec.cpp,2,393
33360,qtbase/src/widgets/widgets/qmenubar.cpp,1,1184
33360,qtbase/src/tools/qdoc/node.cpp,13,1894
33360,qtbase/src/widgets/widgets/qabstractslider.cpp,2,363
33360,qtbase/src/network/kernel/qauthenticator.cpp,5,756
33360,qtbase/src/network/socket/qtcpserver.cpp,9,269
33360,qtbase/src/opengl/qgl.cpp,43,2149
33360,qtbase/src/gui/text/qtextdocument.cpp,7,1688
33360,qtbase/src/corelib/tools/qelapsedtimer.cpp,4,15
33360,qtbase/src/opengl/gl2paintengineex/qglengineshadermanager.cpp,1,616
33360,qtbase/src/dbus/qdbusreply.cpp,1,50
33360,qtbase/src/widgets/graphicsview/qgraphicsitem_p.h,2,656
33360,qtbase/src/network/access/qnetworkdiskcache.cpp,1,406
33360,qtbase/examples/widgets/tutorials/threads/clock/clockthread.h,32,11
33360,qtbase/src/widgets/widgets/qabstractspinbox.cpp,1,1167
33360,qtbase/src/corelib/kernel/qobject_p.h,1,278
33360,qtbase/src/gui/kernel/qwindow.cpp,5,1030
33360,qtbase/src/corelib/tools/qmap.cpp,18,302
33360,qtbase/src/corelib/kernel/qsharedmemory.cpp,7,203
33360,qtbase/src/widgets/graphicsview/qgraphicsanchorlayout_p.cpp,4,1703
33360,qtbase/src/corelib/kernel/qcoreapplication.cpp,17,956
33360,qtbase/src/widgets/styles/qwindowsvistastyle.cpp,1,2106
33360,qtbase/src/gui/opengl/qopenglfunctions.cpp,2,910
33360,qtbase/src/gui/painting/qcolor.cpp,6,1157
33360,qtbase/src/gui/painting/qstroker.cpp,1,840
33360,qtbase/src/widgets/styles/qstylesheetstyle.cpp,2,4952
33360,qtbase/src/corelib/thread/qfuturewatcher.cpp,12,197
33360,qtbase/src/corelib/tools/qtextboundaryfinder.cpp,2,272
33360,qtbase/src/corelib/io/qabstractfileengine.cpp,24,340
33360,qtbase/src/network/bearer/qnetworksession.cpp,2,182
33360,qtbase/src/gui/math3d/qgenericmatrix.cpp,3,2
33360,qtbase/src/sql/kernel/qsqlrecord.cpp,16,193
33360,qtbase/src/corelib/tools/qscopedpointer.cpp,4,2
33360,qtbase/src/corelib/statemachine/qsignaltransition.cpp,2,101
33360,qtbase/src/gui/text/qtextcursor.cpp,28,1456
33360,qtbase/src/widgets/itemviews/qdatawidgetmapper.cpp,1,376
33360,qtbase/src/corelib/kernel/qmath.cpp,1,260
33360,qtbase/examples/widgets/tutorials/threads/clock/clockthread.cpp,33,17
33360,qtbase/src/widgets/graphicsview/qgraphicsview.cpp,2,2088
33360,qtbase/src/tools/qdoc/qdocindexfiles.cpp,1,994
33360,qtbase/src/dbus/qdbuspendingcall.cpp,7,198
33360,qtbase/examples/widgets/tutorials/threads/movedobject/thread.cpp,50,34
33360,qtbase/src/widgets/graphicsview/qgraphicslayoutitem.cpp,3,338
33360,qtbase/src/network/access/qabstractnetworkcache.cpp,3,178
33360,qtbase/src/widgets/widgets/qtabwidget.cpp,2,636
33360,qtbase/src/widgets/kernel/qwhatsthis.cpp,2,400
33360,qtbase/src/dbus/qdbusutil.cpp,12,345
33360,qtbase/src/gui/image/qpixmapcache.cpp,8,343
33360,qtbase/src/corelib/io/qtemporaryfile.cpp,1,294
33360,qtbase/src/corelib/global/qlibraryinfo.cpp,1,148
33360,qtbase/src/network/ssl/qsslcipher.cpp,3,77
33360,qtbase/src/widgets/kernel/qtooltip.cpp,2,276
